region,"	Percent Food Insecurity",Math-Males,Math-Females,Math-LunchElig,Math-NotLunchElig,Reading-Males,Reading-Females,Reading-LunchElig,Reading-NotLunchElig
alabama,"	16.7"," 	269.457455785562"," 	268.9201118","	255.64066751231",287.00,"	252.909376479195","	262.150556","	246.076028620139","	272.0195906"
arizona,"	15.6"," 	280.174388600923"," 	279.2495812","	267.780645904514",295.00,"	256.309332828279","	264.8002421","	250.576687598564","	272.8500908"
arkansas,"	21.2"," 	277.457662328569"," 	278.3817884","	267.398628941018",292.00,"	256.72719508178","	267.3611136","	252.628818117249","	274.8435991"
california,"	15"," 	277.167170641967"," 	274.5978239","	263.835414427387",293.00,"	256.503048493584","	266.6502528","	250.818043955129","	276.2363659"
colorado,"	13.9"," 	289.454320290854"," 	289.9236746","	271.645406179206",302.00,"	267.15708847269","	275.0946545","	256.211802430693","	280.9294477"
connecticut,"	13.4"," 	285.474592022455"," 	285.0017188","	262.75526114891",297.00,"	268.552535036854","	280.5938227","	255.752266237546","	284.2722211"
delaware,"	12.9"," 	283.83045499023"," 	280.8192718","	269.349236470259",294.00,"	261.008261582546","	271.0669336","	255.233841555897","	275.545238"
district of columbia,"	13.4"," 	264.176534273531"," 	266.2977607","	257.635152157776",293.00,"	240.841626046992","	254.3554216","	240.724614942875","	271.3077469"
florida,"	14.1"," 	281.654865567404"," 	280.0417214","	270.88494924855",294.00,"	260.011458035675","	271.7334446","	257.219540521004","	276.9000058"
georgia,"	16.6"," 	279.446738578749"," 	278.897697","	267.246048007862",296.00,"	259.676888849088","	269.7099514","	255.266523443489","	277.7025843"
idaho,"	15.1"," 	286.976905900932"," 	285.8317047","	276.360518155343",295.00,"	264.616966649948","	276.0117947","	261.204715336921","	277.466167"
illinois,"	12.5"," 	285.037468027285"," 	284.7510374","	267.907621262462",299.00,"	262.821698763525","	271.1693443","	251.984987786915","	279.5813958"
indiana,"	14.1"," 	288.213645237941"," 	287.3066025","	275.410965627793",298.00,"	262.449496851515","	272.2566862","	257.171658326836","	275.8203976"
iowa,"	11.9"," 	285.734438938342"," 	284.381733","	269.664037089989",295.00,"	264.990747688262","	273.1526862","	256.593026147578","	276.6357114"
kansas,"	15.2"," 	290.261605782511"," 	288.7331247","	275.552373190747",301.00,"	263.158636723272","	270.8571175","	254.13283504068","	277.5529482"
kentucky,"	16.4"," 	280.989580091595"," 	280.2826093","	268.236527497352",293.00,"	266.440889388585","	272.9382061","	257.961299515597","	280.7450942"
louisiana,"	16.5"," 	272.610984383101"," 	272.914362","	265.25448088157",287.00,"	252.536384246714","	262.3091384","	250.277096852145","	270.8404798"
maine,"	15.1"," 	290.310424976892"," 	287.0423526","	275.610929554615",298.00,"	262.455933649733","	276.3626664","	260.224994207915","	275.7922572"
maryland,"	13.3"," 	286.397218281807"," 	286.8940802","	270.254581640701",298.00,"	269.063674061664","	278.4142079","	259.896646569448","	282.699863"
massachusetts,"	10.6"," 	300.904211949953"," 	300.2308902","	280.737745656563",313.00,"	272.582866949534","	281.4782952","	259.58567793973","	287.7969166"
michigan,"	13.9"," 	279.713426352516"," 	280.5798948","	265.334568502449",293.00,"	261.548561351281","	270.6326543","	253.971859117868","	276.0601528"
