region, 	One, 	Two
alabama, 	269.457455785562, 	268.9201118
arizona, 	280.174388600923, 	279.2495812
arkansas, 	277.457662328569, 	278.3817884
california, 	277.167170641967, 	274.5978239
colorado, 	289.454320290854, 	289.9236746
connecticut, 	285.474592022455, 	285.0017188
delaware, 	283.83045499023, 	280.8192718
district of columbia, 	264.176534273531, 	266.2977607
florida, 	281.654865567404, 	280.0417214
georgia, 	279.446738578749, 	278.897697
idaho, 	286.976905900932, 	285.8317047
illinois, 	285.037468027285, 	284.7510374
indiana, 	288.213645237941, 	287.3066025
iowa, 	285.734438938342, 	284.381733
kansas, 	290.261605782511, 	288.7331247
kentucky, 	280.989580091595, 	280.2826093
louisiana, 	272.610984383101, 	272.914362
maine, 	290.310424976892, 	287.0423526
maryland, 	286.397218281807, 	286.8940802
massachusetts, 	300.904211949953, 	300.2308902
michigan, 	279.713426352516, 	280.5798948
minnesota, 	295.404317606613, 	293.7755999
mississippi, 	271.109403611428, 	271.2142242
missouri, 	282.657908740772, 	283.3322219
montana, 	289.053256778653, 	289.4141566
nebraska, 	284.871869536404, 	285.2596745
nevada, 	279.090455547101, 	277.4417112
new hampshire, 	295.229753306192, 	296.1264251
new jersey, 	295.223058218423, 	296.9327194
new mexico, 	272.756075673858, 	272.7678205
new york, 	280.379928837538, 	283.3365732
north carolina, 	285.466839751622, 	285.8306686
north dakota, 	290.802637501395, 	290.2185167
ohio, 	289.993062230252, 	289.0444198
oklahoma, 	274.832878011673, 	276.1918593
oregon, 	284.638917196177, 	282.337649
pennsylvania, 	290.340627898997, 	288.8565493
rhode island, 	284.310518198129, 	283.8608371
south carolina, 	280.812609752728, 	278.8357712
south dakota, 	287.763809267616, 	286.7487127
tennessee, 	277.773515673958, 	277.664098
texas, 	288.563079728474, 	287.8091626
utah, 	284.868183297033, 	283.7647191
vermont, 	294.792950483158, 	296.1875637
virginia, 	287.504852868011, 	288.8062496
washington, 	290.47568171472, 	289.4043239
west virginia, 	274.493147835886, 	274.367421
wisconsin, 	288.699963228296, 	288.7935587
wyoming, 	289.561862865123, 	286.5596347
