region,	One,	Two
alabama,	255.64066751231,	287
arizona,	267.780645904514,	295
arkansas,	267.398628941018,	292
california,	263.835414427387,	293
colorado,	271.645406179206,	302
connecticut,	262.75526114891,	297
delaware,	269.349236470259,	294
district of columbia,	257.635152157776,	293
florida,	270.88494924855,	294
georgia,	267.246048007862,	296
idaho,	276.360518155343,	295
illinois,	267.907621262462,	299
indiana,	275.410965627793,	298
iowa,	269.664037089989,	295
kansas,	275.552373190747,	301
kentucky,	268.236527497352,	293
louisiana,	265.25448088157,	287
maine,	275.610929554615,	298
maryland,	270.254581640701,	298
massachusetts,	280.737745656563,	313
michigan,	265.334568502449,	293
minnesota,	275.176521220136,	304
mississippi,	263.492693224822,	288
missouri,	270.68471198219,	294
montana,	276.674409931858,	297
nebraska,	270.729415964207,	296
nevada,	268.978085787551,	290
new hampshire,	278.810692603349,	301
new jersey,	277.454932350401,	306
new mexico,	265.854222385463,	289
new york,	268.751826742851,	293
north carolina,	274.308442163665,	300
north dakota,	275.769342539754,	297
ohio,	273.557654179888,	301
oklahoma,	266.259178673566,	286
oregon,	271.025834468794,	299
pennsylvania,	272.721093801357,	301
rhode island,	266.187499107771,	298
south carolina,	266.32319051873,	296
south dakota,	271.004821770075,	297
tennessee,	265.108494570675,	292
texas,	278.819012587474,	300
utah,	269.952663619745,	293
vermont,	279.031456313866,	305
virginia,	269.74668477639,	298
washington,	275.745195496178,	301
west virginia,	265.730016823512,	286
wisconsin,	273.586783848312,	299
wyoming,	278.570979453695,	294
