region,	One,	Two
alabama,	252.909376479195,	262.150556
arizona,	256.309332828279,	264.8002421
arkansas,	256.72719508178,	267.3611136
california,	256.503048493584,	266.6502528
colorado,	267.15708847269,	275.0946545
connecticut,	268.552535036854,	280.5938227
delaware,	261.008261582546,	271.0669336
district of columbia,	240.841626046992,	254.3554216
florida,	260.011458035675,	271.7334446
georgia,	259.676888849088,	269.7099514
idaho,	264.616966649948,	276.0117947
illinois,	262.821698763525,	271.1693443
indiana,	262.449496851515,	272.2566862
iowa,	264.990747688262,	273.1526862
kansas,	263.158636723272,	270.8571175
kentucky,	266.440889388585,	272.9382061
louisiana,	252.536384246714,	262.3091384
maine,	262.455933649733,	276.3626664
maryland,	269.063674061664,	278.4142079
massachusetts,	272.582866949534,	281.4782952
michigan,	261.548561351281,	270.6326543
minnesota,	265.733817925226,	276.3245498
mississippi,	247.579417531786,	258.890328
missouri,	261.450852032338,	273.2557911
montana,	267.445791265889,	276.3401487
nebraska,	264.988243361046,	273.6106578
nevada,	256.501548289117,	267.1890234
new hampshire,	269.133283978679,	279.8416238
new jersey,	271.372109696157,	281.5694629
new mexico,	252.207343272956,	259.7350587
new york,	260.726756119909,	272.4314733
north carolina,	258.192102393026,	271.0790567
north dakota,	262.982548648635,	272.6823523
ohio,	264.089080031384,	274.2176165
oklahoma,	258.331060449124,	265.5736631
oregon,	262.589924064253,	274.3216271
pennsylvania,	268.991229658818,	275.3936789
rhode island,	261.301433664477,	272.3716016
south carolina,	255.534665241403,	267.3291448
south dakota,	262.165567732798,	274.298195
tennessee,	261.775826502977,	269.0594699
texas,	259.558163547908,	268.105455
utah,	265.410259004036,	274.8792771
vermont,	268.848591433957,	280.2254198
virginia,	262.487617070136,	272.8746969
washington,	267.75611374686,	276.5969609
west virginia,	251.351233554993,	263.385542
wisconsin,	260.783124296713,	274.6517697
wyoming,	265.059804449054,	277.3398995
